iteration,best_nse,best_r2,best_pbias,best_rmse,median_nse,median_r2,median_pbias,median_rmse,Basin
1,-19.4681671227266,0.316223307485714,374.7,3.27780023766452,-101.143723101718,0.107907644646441,705.4,7.32232091496414,Priego Trabraque
2,-15.0918686264162,0.353943835080205,321.7,2.90633883055072,-59.9156267004225,0.167201442794646,590.4,5.65467123138598,Priego Trabraque
3,-13.7376474488337,0.283860031787836,330.8,2.7813592458703,-41.1283423858089,0.175766240944791,496.9,4.70251468310105,Priego Trabraque
1,-0.204663887157948,0.455075846293102,0,1.72161242355486,-14.6765391705618,0.0852951982707332,31.8,6.21051317371834,Bujaralo
2,-0.0269268902186859,0.472742664601395,0,1.58954272334125,-3.76229937442456,0.220646037771436,2,3.42303005792962,Bujaralo
3,-0.0502838706640947,0.439935764180688,0,1.60751779886659,-2.89749481720388,0.170396707873919,-8.5,3.09667205320338,Bujaralo
0,-4.16134748743831,0.177883952630218,42.8,28.5003168726271,-4.16134748743831,0.177883952630218,42.8,28.5003168726271,Navaluenga
0,-0.0714079069548423,0.380191954805894,6.6,5.80591129871301,-0.0714079069548423,0.380191954805894,6.6,5.80591129871301,Matallana
0,-1.76967663931912,0.211898328128092,135,2.55372962527869,-1.76967663931912,0.211898328128092,135,2.55372962527869,Villarejo de Montalban
0,-4.01109062396118,0.214602361090021,7.7,11.4208266355265,-4.01109062396118,0.214602361090021,7.7,11.4208266355265,Peralejo de las Truchas
0,-3.67861623408504,0.26354779635448,9.1,8.02768218061468,-3.67861623408504,0.26354779635448,9.1,8.02768218061468,Priego Escabas
0,-0.532111517227385,0.220680584140909,-7.1,3.9416299925774,-0.532111517227385,0.220680584140909,-7.1,3.9416299925774,Santa Maria del Val
0,-8.07030430643908,0.0881083947429353,-34.2,0.675460873670554,-8.07030430643908,0.0881083947429353,-34.2,0.675460873670554,Jabalera
0,-84.815714627621,0.124564697178373,107.4,3.80165092831422,-84.815714627621,0.124564697178373,107.4,3.80165092831422,Huete
0,-10.3808564264081,0.067780248761153,88.1,2.15325116776817,-10.3808564264081,0.067780248761153,88.1,2.15325116776817,Torote
